                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |     72.63% |     77.59% |     77.22% |     76.98% |     73.46% |     75.15% |     75.14% |     76.99% |     71.03% |     78.76% |     78.28% |     77.12% |     71.74% |     74.23% |     74.08% |     76.64%
    mpki                             |       0.13 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.13 |       0.12 |       0.13 |       0.13 |       0.12 |       0.11 |       0.12 |       0.12 |       0.12
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        102 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     121.81 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      68.38 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          3 |          4 |          3 |          4 |          3 |          3 |          3 |          5 |          3 |          3 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       5416 |       3698 |       3013 |       3183 |       4057 |       4123 |       3541 |       3616 |       4378 |       4605 |       3479 |       2544 |       3575 |       3815 |       3584 |       3607
